,dc,drift_value_adwin,host,id,parameter_id,station_id,topic,unix_timestamp
2021-12-06 18:07:12.874084+00:00,localhost,14.0,b104e5145a87,5642340997.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492277908.0
2021-12-06 18:15:40.017537+00:00,localhost,14.0,b104e5145a87,5642340997.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492277908.0
2021-12-06 18:20:37.056382+00:00,localhost,18.0,b104e5145a87,5643643948.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306192.0
2021-12-06 18:20:43.785008+00:00,localhost,18.0,b104e5145a87,5643672291.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306824.0
2021-12-06 18:22:25.047481+00:00,localhost,18.0,b104e5145a87,5644077248.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492316411.0
2021-12-06 18:23:05.666892+00:00,localhost,22.0,b104e5145a87,5644254281.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492320528.0
2021-12-06 18:24:13.226881+00:00,localhost,18.0,b104e5145a87,5644550142.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492327447.0
2021-12-06 18:25:07.362031+00:00,localhost,24.0,b104e5145a87,5644786571.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492332407.0
2021-12-06 18:28:22.809440+00:00,localhost,20.0,b104e5145a87,5645710802.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492351510.0
2021-12-06 18:28:36.164339+00:00,localhost,20.0,b104e5145a87,5645780507.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492352960.0
2021-12-06 18:28:49.604045+00:00,localhost,20.0,b104e5145a87,5645854689.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492354522.0
2021-12-06 18:29:23.490651+00:00,localhost,16.0,b104e5145a87,5646073798.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492359173.0
2021-12-06 18:31:51.788670+00:00,localhost,20.0,b104e5145a87,5646813618.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492374820.0
2021-12-06 18:35:28.532120+00:00,localhost,20.0,b104e5145a87,5647670752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492394450.0
2021-12-06 18:36:15.782094+00:00,localhost,20.0,b104e5145a87,5647858936.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492398915.0
2021-12-06 18:36:49.692053+00:00,localhost,22.0,b104e5145a87,5648005752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492402424.0
2021-12-06 18:37:43.902608+00:00,localhost,22.0,b104e5145a87,5648234259.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492407851.0
2021-12-06 18:39:05.103079+00:00,localhost,20.0,b104e5145a87,5648594034.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492415906.0
2021-12-06 18:43:14.818616+00:00,localhost,16.0,b104e5145a87,5649766859.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492440458.0
2021-12-06 18:43:35.092753+00:00,localhost,18.0,b104e5145a87,5649872570.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492442667.0
2021-12-06 18:43:55.382818+00:00,localhost,20.0,b104e5145a87,5649993094.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492445142.0
2021-12-06 18:44:29.329201+00:00,localhost,22.0,b104e5145a87,5650187221.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492449133.0
2021-12-06 18:45:23.563985+00:00,localhost,14.0,b104e5145a87,5650475594.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492454857.0
2021-12-06 18:50:08.833870+00:00,localhost,21.0,b104e5145a87,5651709881.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492481211.0
2021-12-06 18:51:37.230696+00:00,localhost,21.0,b104e5145a87,5652077663.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492489656.0
2021-12-06 18:52:04.331694+00:00,localhost,23.0,b104e5145a87,5652189245.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492492298.0
2021-12-06 18:53:32.787640+00:00,localhost,19.0,b104e5145a87,5652612257.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492501192.0
2021-12-06 19:04:24.424758+00:00,localhost,18.0,b104e5145a87,5641332667.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492257449.0
2021-12-06 19:06:33.062646+00:00,localhost,22.0,b104e5145a87,5641993687.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492271003.0
2021-12-06 19:12:59.087635+00:00,localhost,18.0,b104e5145a87,5643792797.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492309637.0
2021-12-06 19:13:05.928968+00:00,localhost,18.0,b104e5145a87,5643819948.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492310264.0
2021-12-06 19:17:03.401014+00:00,localhost,24.0,b104e5145a87,5644833895.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492333376.0
2021-12-06 19:26:06.397395+00:00,localhost,22.0,b104e5145a87,5647395671.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492387940.0
2021-12-06 19:31:32.455713+00:00,localhost,22.0,b104e5145a87,5648765664.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492419516.0
2021-12-06 19:40:34.426211+00:00,localhost,23.0,b104e5145a87,5651353248.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492473403.0
2021-12-06 19:47:48.835344+00:00,localhost,15.0,b104e5145a87,5653312129.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492515328.0
2021-12-06 19:55:03.063066+00:00,localhost,24.0,b104e5145a87,5655252305.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492556862.0
2021-12-06 19:56:31.358490+00:00,localhost,18.0,b104e5145a87,5641406931.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492258987.0
2021-12-06 19:57:59.555200+00:00,localhost,14.0,b104e5145a87,5641839972.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492267930.0
2021-12-06 20:11:15.626558+00:00,localhost,16.0,b104e5145a87,5645523774.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492347476.0
2021-12-06 20:18:29.565776+00:00,localhost,20.0,b104e5145a87,5647545525.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492391308.0
