dc,drift_value_adwin,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,14.0,b104e5145a87,5642340997.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492277908.0,2017-04-15 17:38:28
localhost,18.0,b104e5145a87,5643643948.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306192.0,2017-04-16 01:29:52
localhost,18.0,b104e5145a87,5643672291.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306824.0,2017-04-16 01:40:24
localhost,18.0,b104e5145a87,5644077248.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492316411.0,2017-04-16 04:20:11
localhost,22.0,b104e5145a87,5644254281.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492320528.0,2017-04-16 05:28:48
localhost,18.0,b104e5145a87,5644550142.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492327447.0,2017-04-16 07:24:07
localhost,24.0,b104e5145a87,5644786571.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492332407.0,2017-04-16 08:46:47
localhost,20.0,b104e5145a87,5645710802.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492351510.0,2017-04-16 14:05:10
localhost,20.0,b104e5145a87,5645780507.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492352960.0,2017-04-16 14:29:20
localhost,20.0,b104e5145a87,5645854689.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492354522.0,2017-04-16 14:55:22
localhost,16.0,b104e5145a87,5646073798.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492359173.0,2017-04-16 16:12:53
localhost,20.0,b104e5145a87,5646813618.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492374820.0,2017-04-16 20:33:40
localhost,20.0,b104e5145a87,5647670752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492394450.0,2017-04-17 02:00:50
localhost,20.0,b104e5145a87,5647858936.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492398915.0,2017-04-17 03:15:15
localhost,22.0,b104e5145a87,5648005752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492402424.0,2017-04-17 04:13:44
localhost,22.0,b104e5145a87,5648234259.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492407851.0,2017-04-17 05:44:11
localhost,20.0,b104e5145a87,5648594034.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492415906.0,2017-04-17 07:58:26
localhost,16.0,b104e5145a87,5649766859.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492440458.0,2017-04-17 14:47:38
localhost,18.0,b104e5145a87,5649872570.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492442667.0,2017-04-17 15:24:27
localhost,20.0,b104e5145a87,5649993094.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492445142.0,2017-04-17 16:05:42
localhost,22.0,b104e5145a87,5650187221.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492449133.0,2017-04-17 17:12:13
localhost,14.0,b104e5145a87,5650475594.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492454857.0,2017-04-17 18:47:37
localhost,21.0,b104e5145a87,5651709881.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492481211.0,2017-04-18 02:06:51
localhost,21.0,b104e5145a87,5652077663.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492489656.0,2017-04-18 04:27:36
localhost,23.0,b104e5145a87,5652189245.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492492298.0,2017-04-18 05:11:38
localhost,19.0,b104e5145a87,5652612257.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492501192.0,2017-04-18 07:39:52
localhost,18.0,b104e5145a87,5641332667.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492257449.0,2017-04-15 11:57:29
localhost,22.0,b104e5145a87,5641993687.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492271003.0,2017-04-15 15:43:23
localhost,18.0,b104e5145a87,5643792797.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492309637.0,2017-04-16 02:27:17
localhost,18.0,b104e5145a87,5643819948.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492310264.0,2017-04-16 02:37:44
localhost,24.0,b104e5145a87,5644833895.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492333376.0,2017-04-16 09:02:56
localhost,22.0,b104e5145a87,5647395671.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492387940.0,2017-04-17 00:12:20
localhost,22.0,b104e5145a87,5648765664.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492419516.0,2017-04-17 08:58:36
localhost,23.0,b104e5145a87,5651353248.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492473403.0,2017-04-17 23:56:43
localhost,15.0,b104e5145a87,5653312129.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492515328.0,2017-04-18 11:35:28
localhost,24.0,b104e5145a87,5655252305.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492556862.0,2017-04-18 23:07:42
localhost,18.0,b104e5145a87,5641406931.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492258987.0,2017-04-15 12:23:07
localhost,14.0,b104e5145a87,5641839972.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492267930.0,2017-04-15 14:52:10
localhost,16.0,b104e5145a87,5645523774.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492347476.0,2017-04-16 12:57:56
localhost,20.0,b104e5145a87,5647545525.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492391308.0,2017-04-17 01:08:28
